acc1,acc2,acc3,acc4,acc5,mean_acc
0.8032786885245902,0.7704918032786885,0.8032786885245902,0.819672131147541,0.819672131147541,0.8032786885245902
0.8360655737704918,0.8032786885245902,0.7868852459016393,0.8032786885245902,0.819672131147541,0.8098360655737704
0.8524590163934426,0.8524590163934426,0.7540983606557377,0.8032786885245902,0.7868852459016393,0.8098360655737704
0.8524590163934426,0.8688524590163934,0.8524590163934426,0.8360655737704918,0.8524590163934426,0.8524590163934427
0.7704918032786885,0.7868852459016393,0.7704918032786885,0.7704918032786885,0.7868852459016393,0.7770491803278687
0.8032786885245902,0.8360655737704918,0.8032786885245902,0.8524590163934426,0.7704918032786885,0.8131147540983606
0.819672131147541,0.8032786885245902,0.819672131147541,0.7868852459016393,0.7868852459016393,0.8032786885245902
0.6885245901639344,0.7213114754098361,0.6721311475409836,0.6557377049180327,0.6557377049180327,0.6786885245901638
0.7868852459016393,0.7540983606557377,0.7868852459016393,0.7704918032786885,0.7704918032786885,0.7737704918032786
0.762589928057554,0.7769784172661871,0.7482014388489209,0.7841726618705036,0.7841726618705036,0.7712230215827338
0.7050359712230215,0.7553956834532374,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7395683453237408
0.7122302158273381,0.7122302158273381,0.7122302158273381,0.7266187050359713,0.7050359712230215,0.7136690647482015
0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7482014388489209,0.7697841726618705,0.7482014388489209
0.6115107913669064,0.6187050359712231,0.6690647482014388,0.7266187050359713,0.6187050359712231,0.6489208633093525
0.6834532374100719,0.6834532374100719,0.6618705035971223,0.7050359712230215,0.7050359712230215,0.6877697841726619
0.6834532374100719,0.697841726618705,0.7122302158273381,0.7050359712230215,0.7194244604316546,0.7035971223021582
0.7410071942446043,0.7122302158273381,0.7482014388489209,0.7266187050359713,0.7553956834532374,0.7366906474820143
0.7553956834532374,0.7410071942446043,0.7482014388489209,0.7410071942446043,0.7553956834532374,0.7482014388489209
0.6834532374100719,0.6546762589928058,0.6546762589928058,0.6402877697841727,0.6762589928057554,0.6618705035971223
0.6690647482014388,0.6906474820143885,0.697841726618705,0.6762589928057554,0.7194244604316546,0.6906474820143884
0.7122302158273381,0.7122302158273381,0.6546762589928058,0.6690647482014388,0.7194244604316546,0.6935251798561151
0.6330935251798561,0.6834532374100719,0.6762589928057554,0.6330935251798561,0.6834532374100719,0.6618705035971223
0.5899280575539568,0.5683453237410072,0.5683453237410072,0.5971223021582733,0.5467625899280576,0.5741007194244604
0.6762589928057554,0.6690647482014388,0.6474820143884892,0.6690647482014388,0.6546762589928058,0.6633093525179856
0.697841726618705,0.6402877697841727,0.697841726618705,0.6834532374100719,0.6834532374100719,0.6805755395683454
0.5827338129496403,0.6258992805755396,0.5971223021582733,0.6258992805755396,0.6258992805755396,0.6115107913669064
0.5899280575539568,0.6115107913669064,0.6115107913669064,0.6187050359712231,0.60431654676259,0.6071942446043165
0.625,0.625,0.53125,0.609375,0.625,0.603125
0.65625,0.671875,0.6875,0.640625,0.65625,0.6625
0.53125,0.53125,0.625,0.625,0.609375,0.584375
0.65625,0.71875,0.65625,0.65625,0.609375,0.659375
0.578125,0.59375,0.609375,0.609375,0.609375,0.6
0.546875,0.5625,0.578125,0.59375,0.59375,0.575
0.65625,0.609375,0.703125,0.5625,0.609375,0.628125
0.515625,0.40625,0.40625,0.40625,0.484375,0.44375
0.609375,0.5625,0.578125,0.546875,0.59375,0.578125
0.7853658536585366,0.7609756097560976,0.775609756097561,0.7707317073170732,0.7609756097560976,0.7707317073170732
0.7170731707317073,0.7658536585365854,0.7707317073170732,0.775609756097561,0.7609756097560976,0.7580487804878049
0.6048780487804878,0.6439024390243903,0.6390243902439025,0.7268292682926829,0.6,0.6429268292682926
0.7073170731707317,0.6731707317073171,0.6780487804878049,0.697560975609756,0.6878048780487804,0.688780487804878
0.6878048780487804,0.6341463414634146,0.6536585365853659,0.5853658536585366,0.6146341463414634,0.6351219512195122
0.7609756097560976,0.7658536585365854,0.7902439024390244,0.7902439024390244,0.7902439024390244,0.7795121951219512
0.7853658536585366,0.7707317073170732,0.7951219512195122,0.8146341463414634,0.8195121951219512,0.7970731707317074
0.7463414634146341,0.7902439024390244,0.7073170731707317,0.751219512195122,0.7463414634146341,0.7482926829268293
0.697560975609756,0.6536585365853659,0.6878048780487804,0.6878048780487804,0.697560975609756,0.6848780487804877
0.8041237113402062,0.7972508591065293,0.8075601374570447,0.7800687285223368,0.7800687285223368,0.7938144329896908
0.8041237113402062,0.8178694158075601,0.8041237113402062,0.8109965635738832,0.8006872852233677,0.8075601374570447
0.6701030927835051,0.6804123711340206,0.6391752577319587,0.6323024054982818,0.6529209621993127,0.6549828178694158
0.7422680412371134,0.7938144329896907,0.7560137457044673,0.738831615120275,0.7869415807560137,0.763573883161512
